SUMLEV,STATE,COUNTY,STNAME,CTYNAME,TOT_POP,HispanicMale,HispanicFemale,HispanicTotal,PercentHispanicApr2010,PercentHispanicJul2010,PercentHispanicJul2011,PercentHispanicJul2012,PercentHispanicJul2013,PercentHispanicJul2014,PercentHispanicJul2015,PercentHispanicJul2016,PercentHispanicJul2017,PercentHispanicJul2018,PercentHispanicJul2019,PercentHispanicApr2020,PercentHispanicJul2020,PercentHispanicJul2021,PercentHispanicJul2022
50,37,1,North Carolina,Alamance County,171429,11711,11197,22908,0.110096539,0.109986438,0.110353891,0.111996699,0.114520602,0.117149492,0.1188475,0.121073378,0.122739155,0.124825449,0.128271497,0.133629666,0.134338253,0.138190435,0.141942581
50,37,3,North Carolina,Alexander County,36440,958,859,1817,0.043039948,0.04300468,0.043053205,0.044212175,0.043036672,0.043796607,0.044934707,0.045698052,0.045808311,0.046684436,0.048244087,0.049862788,0.050408421,0.052650341,0.0548039
50,37,5,North Carolina,Alleghany County,10886,621,469,1090,0.090004482,0.089939024,0.089252043,0.089869281,0.090834323,0.089883518,0.091451657,0.095983788,0.0947889,0.096104842,0.098401867,0.100128606,0.100119299,0.101120549,0.100581135
50,37,7,North Carolina,Anson County,22052,596,368,964,0.030132106,0.030153366,0.030537763,0.030589922,0.032574404,0.033093193,0.035586366,0.038082962,0.040015895,0.040154658,0.042541888,0.043714856,0.044478736,0.049249573,0.052292586
50,37,9,North Carolina,Ashe County,26581,808,539,1347,0.048055423,0.048091043,0.048148964,0.047061439,0.047318378,0.048248882,0.049544164,0.04882079,0.048195489,0.048605667,0.050850585,0.050675294,0.050978179,0.053990435,0.056584286
50,37,11,North Carolina,Avery County,17812,517,369,886,0.044782829,0.04475768,0.044553065,0.045751266,0.046561808,0.04712813,0.049121813,0.050440352,0.049879601,0.051778273,0.049977179,0.049741747,0.04992156,0.051822649,0.05321268
50,37,13,North Carolina,Beaufort County,44658,1881,1884,3765,0.06629117,0.066256488,0.066350215,0.0681699,0.071324661,0.072348149,0.072244872,0.074510962,0.076442399,0.077031021,0.079649779,0.084307403,0.084694563,0.084522256,0.085042465
50,37,15,North Carolina,Bertie County,17934,256,169,425,0.012545813,0.012549941,0.013085432,0.014766516,0.016590222,0.017465315,0.019393581,0.019839302,0.02049117,0.020557546,0.022244321,0.023698004,0.023569589,0.025423242,0.026276102
50,37,17,North Carolina,Bladen County,29617,1239,1109,2348,0.071099744,0.071140176,0.071714846,0.071645642,0.071939552,0.071205731,0.071534589,0.072939589,0.072418099,0.074634453,0.076528612,0.079278793,0.079921698,0.082563842,0.086021871
50,37,19,North Carolina,Brunswick County,136694,3616,3261,6877,0.051651758,0.051652719,0.051383838,0.049589327,0.047923009,0.047345156,0.046456194,0.046992497,0.04739359,0.047616136,0.048926067,0.05030945,0.050312326,0.051438397,0.052729577
