Gv784 to Mark Morgan,ch,"[N, 20.59, W, 47, N, 40, E, 115, S, 60.59, W, 68]"
Gv226 to John Patterson,ch,"[N, 70, E, 20, N, 20, W, 60, S, 90, E, 40]"
Ofile2022 to M Morgan & John Daniel,po,"[S, 132, E, 382, N, 132, W, 382]"
Ofile0849 to John Morgan,po,"[W, 232, S, 334, E, 232, N, 334]"
Ofile0922 to John Daniel,po,"[W, 235, S, 341, E, 235, N, 341]"
Ofile1524 to John Morgan,ch,"[N, 44.72, W, 44.72, S, 44.72, N, 44.72]"
Ofile1525 to John Morgan,ch,"[W, 60, N, 107, E, 60, S 107]"
Ofile1526 to John Morgan,ch,"[N, 70, E, 10, N, 30, E, 28, S, 100, W, 38]"
Ofile1521 to Hardy Morgan,ch,"[W, 65, S, 30, W, 9.5, S, 41, E, 74.5, S, 5, E, 60, N, 31, W, 60, N, 35]"
Ofile1796 to Joel Moody,ch,"[N, 8, E, 30, E, 95, S, 8, W, 125]"
Ofile2042 to M Morgan & John Daniel,po,"[N, 209, W, 232, S, 177, W, 56, S, 32, E, 288]"
Ofile2105 to M Morgan & John Daniel,po,"[S, 140, E, 228, N, 140, W, 228]"
